Area,Intrusion_Name, Length, Danger_Level, Shortest_Dist_Wire, Volume, Date, Start_Point_X,Start_Point_Y,End_Point_X,End_PointvY,POINT-X,POINT-Y,Total_Length
Hegsetfoss,276,12.74,U2,3.23,24,8/10/2021,608775.1,7008208.2,608757.3,7008213.7,608763.9,7008216.6,18.64
Hegsetfoss,277,7.71,U2,3.62,17.47,8/10/2021,608750.2,7008215.9,608739.6,7008219.1,608745.8,7008222.6,11.02
Hegsetfoss,278,62.96,U1,1.52,206.78,8/10/2021,608626.7,7008253.8,608544.9,7008290.1,608589.1,7008265.9,89.69
Hegsetfoss,279,12.09,U2,3.48,20.67,8/10/2021,608504.8,7008309.5,608489.8,7008316.7,608494.1,7008321.1,16.63
Hegsetfoss,280,11.33,U2,3.02,21.7,8/10/2021,608466.2,7008328.1,608455.4,7008333.3,608457.1,7008326.3,11.98
Hegsetfoss,281,2.78,U2,4.22,2.88,8/10/2021,608450.7,7008335.6,608448.2,7008336.8,608452.4,7008342,2.78
Hegsetfoss,282,1.68,U2,4.42,2.05,8/10/2021,608439.6,7008340.9,608438.1,7008341.7,608436,7008335,1.68
Hegsetfoss,283,3.15,U3,4.31,3.2,8/10/2021,608427.5,7008346.7,608422.7,7008349.1,608423.8,7008341.3,5.38
Hegsetfoss,284,55.45,U1,1.08,330.75,8/10/2021,608357.4,7008380.6,608296.1,7008416.5,608309.6,7008404.7,71.23
Hegsetfoss,285,7.92,U3,3.59,8.13,8/10/2021,608292.9,7008421.1,608287.6,7008429,608286.7,7008421.8,9.59
Hegsetfoss,286,7.38,U2,3.96,11.46,8/10/2021,608284.1,7008434.2,608278.4,7008442.5,608275.6,7008435.6,10.03
Hegsetfoss,287,2.49,U3,3.88,4.42,8/10/2021,608274.6,7008448.1,608273.2,7008450.2,608277.5,7008451.8,2.49
Hegsetfoss,288,1.4,U3,4.45,0.64,8/10/2021,608259.1,7008493.4,608263.6,7008500.9,608265.4,7008495.9,8.7
Hegsetfoss,289,1.08,U3,4.62,0.9,8/10/2021,608268.9,7008509.9,608272.4,7008515.6,608269.9,7008515.3,6.71
Hegsetfoss,290,4.4,U3,4.18,3.39,8/10/2021,608289.6,7008544.5,608294.9,7008553.2,608294.6,7008544.3,10.19
Hegsetfoss,291,2.02,U3,4.53,1.15,8/10/2021,608400.3,7008729.4,608401.4,7008731.2,608396.1,7008734.2,2.02
Hegsetfoss,292,3.35,U2,3.98,3.58,8/10/2021,608407.3,7008741,608409,7008743.9,608413,7008739.9,3.35
Hegsetfoss,293,5.98,U2,4.34,4.48,8/10/2021,608437.7,7008791.9,608442.3,7008799.6,608435.5,7008799.2,8.99
